# Position Log - Manual Test Lap
# Format: RL_STATE|time|position|lap|split|posX|posY|speed|turnSpeed|angle|rank|coins
#
RL_STATE|105.279|48|4|0|0.27232|0.86033|0.146403|1.87833|3.86626|2|0
RL_STATE|105.296|48|4|0|0.270491|0.85871|0.146801|1.87833|3.89756|2|0
RL_STATE|105.312|48|4|0|0.268708|0.85703|0.147192|1.87833|3.92887|2|0
RL_STATE|105.329|48|4|0|0.266975|0.85529|0.147575|1.87833|3.96017|2|0
RL_STATE|105.346|47|4|0|0.265292|0.853492|0.147952|1.87833|3.99148|2|0
RL_STATE|105.362|47|4|0|0.263662|0.851637|0.148322|1.87833|4.02278|2|0
RL_STATE|105.379|47|4|0|0.262088|0.849728|0.148685|1.87833|4.05408|2|0
RL_STATE|105.396|47|4|0|0.26057|0.847765|0.149041|1.87833|4.08539|2|0
RL_STATE|105.412|47|4|0|0.259111|0.845751|0.149391|1.56528|4.11148|2|0
RL_STATE|105.429|46|4|0|0.257702|0.843695|0.149735|1.3044|4.13321|2|0
RL_STATE|105.446|46|4|0|0.256334|0.841604|0.150072|1.087|4.15133|2|0
RL_STATE|105.462|46|4|0|0.255002|0.839484|0.150403|0.905832|4.16643|2|0
RL_STATE|105.479|46|4|0|0.253699|0.83734|0.150728|0.75486|4.17901|2|0
RL_STATE|105.496|46|4|0|0.25242|0.835175|0.151047|0.62905|4.18949|2|0
RL_STATE|105.512|46|4|0|0.251162|0.832991|0.15136|0.524208|4.19823|2|0
RL_STATE|105.529|45|4|0|0.24992|0.830793|0.151668|0.43684|4.20551|2|0
RL_STATE|105.546|45|4|0|0.248692|0.828581|0.15197|0.364033|4.21158|2|0
RL_STATE|105.562|45|4|0|0.247475|0.826357|0.152266|0.303361|4.21663|2|0
RL_STATE|105.579|45|4|0|0.246266|0.824122|0.152557|0.252801|4.22084|2|0
RL_STATE|105.596|45|4|0|0.245065|0.821879|0.152843|0.210667|4.22436|2|0
RL_STATE|105.612|45|4|0|0.24387|0.819627|0.153123|0.175556|4.22728|2|0
RL_STATE|105.629|45|4|0|0.242679|0.817367|0.153398|0.146297|4.22972|2|0
RL_STATE|105.646|44|4|0|0.241491|0.815101|0.153669|0.121914|4.23175|2|0
RL_STATE|105.662|44|4|0|0.240306|0.812828|0.153934|0.101595|4.23344|2|0
RL_STATE|105.679|44|4|0|0.239123|0.810549|0.154195|0.0846625|4.23486|2|0
RL_STATE|105.696|44|4|0|0.237941|0.808265|0.15445|0.0705521|4.23603|2|0
RL_STATE|105.712|44|4|0|0.236759|0.805976|0.154701|0.0587934|4.23701|2|0
RL_STATE|105.729|44|4|0|0.235578|0.803681|0.154948|0.0489945|4.23783|2|0
RL_STATE|105.746|44|4|0|0.234397|0.801383|0.15519|0.0408288|4.23851|2|0
RL_STATE|105.762|43|4|0|0.233216|0.79908|0.155427|0.034024|4.23908|2|0
RL_STATE|105.779|43|4|0|0.232035|0.796772|0.15566|0.0283533|4.23955|2|0
RL_STATE|105.796|43|4|0|0.230852|0.794461|0.155889|0.0236277|4.23994|2|0
RL_STATE|105.812|43|4|0|0.229669|0.792146|0.156114|0.0196898|4.24027|2|0
RL_STATE|105.829|43|4|0|0.228485|0.789827|0.156335|0.0164082|4.24054|2|0
RL_STATE|105.846|43|4|0|0.2273|0.787505|0.156551|0.0136735|4.24077|2|0
RL_STATE|105.862|42|4|0|0.226114|0.785179|0.156764|0.0113946|4.24096|2|0
RL_STATE|105.879|42|4|0|0.224926|0.78285|0.156973|0.00949546|4.24112|2|0
RL_STATE|105.896|42|4|0|0.223738|0.780517|0.157178|0.00791288|4.24125|2|0
RL_STATE|105.912|42|4|0|0.222548|0.778182|0.157379|0.00659407|4.24136|2|0
RL_STATE|105.929|42|4|0|0.221357|0.775843|0.157576|0.00549506|4.24145|2|0
RL_STATE|105.946|42|4|0|0.220165|0.773501|0.15777|0.00457921|4.24153|2|0
RL_STATE|105.962|42|4|0|0.218971|0.771157|0.157961|0.00381601|4.24159|2|0
RL_STATE|105.979|41|4|0|0.217776|0.768809|0.158147|0.00318001|4.24164|2|0
RL_STATE|105.996|41|4|0|0.21658|0.766459|0.158331|0.00265001|4.24169|2|0
RL_STATE|106.012|41|4|0|0.215383|0.764105|0.158511|0.00220834|4.24173|2|0
RL_STATE|106.029|41|4|0|0.214197|0.761774|0.155355|0.00184028|4.24176|2|0
RL_STATE|106.046|41|4|0|0.213034|0.75949|0.152256|0.00153357|4.24178|2|0
RL_STATE|106.062|41|4|0|0.211895|0.757251|0.149214|0.00127797|4.2418|2|0
RL_STATE|106.079|40|4|0|0.210779|0.755056|0.146227|0.00106498|4.24182|2|0
RL_STATE|106.096|40|4|0|0.209685|0.752906|0.143295|0.000887482|4.24184|2|0
RL_STATE|106.112|40|4|0|0.208613|0.750799|0.140417|0.000739568|4.24185|2|0
RL_STATE|106.129|40|4|0|0.207563|0.748734|0.137592|0.000616307|4.24186|2|0
RL_STATE|106.146|40|4|0|0.206534|0.746711|0.134818|0.000513589|4.24187|2|0
RL_STATE|106.162|40|4|0|0.205526|0.744728|0.132094|0.000427991|4.24187|2|0
RL_STATE|106.179|40|4|0|0.204538|0.742786|0.129421|0.000356659|4.24188|2|0
RL_STATE|106.196|40|4|0|0.20357|0.740883|0.126796|0.000297216|4.24189|2|0
RL_STATE|106.212|39|4|0|0.202622|0.739018|0.124219|0.00024768|4.24189|2|0
RL_STATE|106.229|39|4|0|0.201693|0.737192|0.12169|0.0002064|4.24189|2|0
RL_STATE|106.246|39|4|0|0.200783|0.735403|0.119206|0.000172|4.2419|2|0
RL_STATE|106.262|37|4|0|0.199891|0.73365|0.116769|0.000143333|4.2419|2|0
RL_STATE|106.279|37|4|0|0.199018|0.731933|0.114375|0.000119444|4.2419|2|0
RL_STATE|106.296|37|4|0|0.198163|0.730251|0.112025|9.9537e-05|4.2419|2|0
RL_STATE|106.312|37|4|0|0.197325|0.728604|0.109719|8.29475e-05|4.2419|2|0
RL_STATE|106.329|37|4|0|0.196505|0.726991|0.107454|6.91229e-05|4.2419|2|0
RL_STATE|106.346|37|4|0|0.195701|0.725411|0.105231|5.76024e-05|4.2419|2|0
RL_STATE|106.362|36|4|0|0.194915|0.723864|0.103049|4.8002e-05|4.24191|2|0
RL_STATE|106.379|36|4|0|0.194144|0.722349|0.100906|4.00017e-05|4.24191|2|0
RL_STATE|106.396|36|4|0|0.19339|0.720866|0.0988025|3.33347e-05|4.24191|2|0
RL_STATE|106.412|36|4|0|0.192651|0.719414|0.0967375|2.77789e-05|4.24191|2|0
RL_STATE|106.429|36|4|0|0.191928|0.717992|0.0947103|2.31491e-05|4.24191|2|0
RL_STATE|106.446|36|4|0|0.19122|0.7166|0.0927201|1.92909e-05|4.24191|2|0
RL_STATE|106.462|36|4|0|0.190527|0.715237|0.0907663|1.60758e-05|4.24191|2|0
RL_STATE|106.479|36|4|0|0.189837|0.713879|0.0919644|1.33965e-05|4.24191|2|0
RL_STATE|106.496|36|4|0|0.189137|0.712504|0.0931625|1.11637e-05|4.24191|2|0
RL_STATE|106.512|36|4|0|0.188441|0.711135|0.0912006|9.30311e-06|4.24191|2|0
RL_STATE|106.529|33|4|0|0.187747|0.709771|0.0923987|7.75259e-06|4.24191|2|0
RL_STATE|106.546|32|4|0|0.187057|0.708413|0.0904507|6.46049e-06|4.24191|2|0
RL_STATE|106.562|32|4|0|0.186369|0.707061|0.0916489|5.38374e-06|4.24191|2|0
RL_STATE|106.579|32|4|0|0.185672|0.70569|0.092847|4.48645e-06|4.24191|2|0
